hour_local,total_trades,wins,losses,win_rate_pct,net_profit_usd
05:00,53,24,29,45.3,126.43
06:00,71,22,49,31.0,-43.01
07:00,92,32,60,34.8,19.61
08:00,87,24,63,27.6,-100.1
09:00,72,22,50,30.6,-39.45
