hour_local,total_trades,wins,losses,win_rate_pct,net_profit_usd
05:00,8,3,5,37.5,6.15
06:00,17,4,13,23.5,-36.2
07:00,22,8,14,36.4,15.79
08:00,22,5,17,22.7,-50.92
09:00,16,4,12,25.0,-31.7
