hour_local,total_trades,wins,losses,win_rate_pct,net_profit_usd
05:00,22,11,11,50.0,86.8
06:00,32,11,21,34.4,17.69
07:00,50,15,35,30.0,116.97
08:00,40,16,24,40.0,114.03
09:00,35,10,25,28.6,-30.96
