hour_local,total_trades,wins,losses,win_rate_pct,net_profit_usd
05:00,22,11,11,50.0,72.9
06:00,32,12,20,37.5,26.85
07:00,50,18,32,36.0,28.91
08:00,42,17,25,40.5,66.66
09:00,35,8,27,22.9,-71.32
