hour_local,total_trades,wins,losses,win_rate_pct,net_profit_usd
05:00,1,0,1,0.0,-7.84
06:00,6,4,2,66.7,50.85
07:00,14,6,8,42.9,21.61
08:00,17,7,10,41.2,-14.9
09:00,18,6,12,33.3,9.03
