entry_time,entry_time_utc,entry_hour_local,exit_time,exit_time_utc,direction,entry_price,exit_price,entry_reason,exit_reason,pnl_usd,pnl_pct,duration_minutes,position_size_usd
2026-05-07 07:15:00,2026-05-07 00:15:00,7,2026-05-07 08:00:00,2026-05-07 01:00:00,long,0.217,0.215373,Close (0.217000) < Lower BB (0.217866),Stop Loss hit (0.75%),-7.5,-3.0,45.0,1000.0
2026-05-07 08:00:00,2026-05-07 01:00:00,8,2026-05-07 10:45:00,2026-05-07 03:45:00,long,0.2155,0.213884,Close (0.215500) < Lower BB (0.215890),Stop Loss hit (0.75%),-7.4437,-3.0,165.0,992.5
2026-05-08 07:15:00,2026-05-08 00:15:00,7,2026-05-08 09:15:00,2026-05-08 02:15:00,short,0.2215,0.218745,Close (0.221500) > Upper BB (0.220658),Exit at BB Middle,12.2521,4.9752,120.0,985.06
2026-05-09 09:30:00,2026-05-09 02:30:00,9,2026-05-09 10:15:00,2026-05-09 03:15:00,short,0.2312,0.232934,Close (0.231200) > Upper BB (0.229796),Stop Loss hit (0.75%),-7.4798,-3.0,45.0,997.31
2026-05-11 09:30:00,2026-05-11 02:30:00,9,2026-05-11 10:00:00,2026-05-11 03:00:00,long,0.2248,0.223114,Close (0.224800) < Lower BB (0.224888),Stop Loss hit (0.75%),-7.4237,-3.0,30.0,989.83
2026-05-12 08:30:00,2026-05-12 01:30:00,8,2026-05-12 12:00:00,2026-05-12 05:00:00,long,0.2266,0.227375,Close (0.226600) < Lower BB (0.227614),Exit at BB Middle,3.3599,1.368,210.0,982.4
2026-05-18 06:30:00,2026-05-17 23:30:00,6,2026-05-18 09:15:00,2026-05-18 02:15:00,long,0.1891,0.19316,Close (0.189100) < Lower BB (0.192039),Exit at BB Middle,21.1645,8.588,165.0,985.76
2026-05-23 07:00:00,2026-05-23 00:00:00,7,2026-05-23 09:45:00,2026-05-23 02:45:00,long,0.1901,0.191795,Close (0.190100) < Lower BB (0.190667),Exit at BB Middle,8.9781,3.5665,165.0,1006.93
2026-05-26 07:30:00,2026-05-26 00:30:00,7,2026-05-26 08:30:00,2026-05-26 01:30:00,long,0.1909,0.189468,Close (0.190900) < Lower BB (0.191363),Stop Loss hit (0.75%),-7.6193,-3.0,60.0,1015.91
2026-05-26 08:30:00,2026-05-26 01:30:00,8,2026-05-26 11:15:00,2026-05-26 04:15:00,long,0.1889,0.190675,Close (0.188900) < Lower BB (0.189156),Exit at BB Middle,9.4744,3.7586,165.0,1008.29
2026-05-30 09:00:00,2026-05-30 02:00:00,9,2026-05-30 09:30:00,2026-05-30 02:30:00,short,0.1921,0.193541,Close (0.192100) > Upper BB (0.190999),Stop Loss hit (0.75%),-7.6332,-3.0,30.0,1017.76
2026-05-30 09:30:00,2026-05-30 02:30:00,9,2026-05-30 09:45:00,2026-05-30 02:45:00,short,0.1932,0.194649,Close (0.193200) > Upper BB (0.192485),Stop Loss hit (0.75%),-7.576,-3.0,15.0,1010.13
