entry_time,entry_time_utc,entry_hour_local,exit_time,exit_time_utc,direction,entry_price,exit_price,entry_reason,exit_reason,pnl_usd,pnl_pct,duration_minutes,position_size_usd
2026-05-18 06:30:00,2026-05-17 23:30:00,6,2026-05-18 09:00:00,2026-05-18 02:00:00,long,0.003613,0.003689,Close (0.003613) < Lower BB (0.003668),Exit at BB Middle,20.8931,8.3572,150.0,1000.0
2026-05-23 07:00:00,2026-05-23 00:00:00,7,2026-05-23 10:00:00,2026-05-23 03:00:00,long,0.003598,0.003624,Close (0.003598) < Lower BB (0.003608),Exit at BB Middle,7.2945,2.8581,180.0,1020.89
2026-06-03 05:45:00,2026-06-02 22:45:00,5,2026-06-03 06:15:00,2026-06-02 23:15:00,long,0.003083,0.00306,Close (0.003083) < Lower BB (0.003102),Stop Loss hit (0.75%),-7.7114,-3.0,30.0,1028.19
2026-06-03 06:15:00,2026-06-02 23:15:00,6,2026-06-03 07:30:00,2026-06-03 00:30:00,long,0.003061,0.003136,Close (0.003061) < Lower BB (0.003081),Exit at BB Middle,24.9768,9.7902,75.0,1020.48
2026-06-04 07:15:00,2026-06-04 00:15:00,7,2026-06-04 08:15:00,2026-06-04 01:15:00,long,0.003069,0.003046,Close (0.003069) < Lower BB (0.003083),Stop Loss hit (0.75%),-7.8409,-3.0,60.0,1045.45
2026-06-04 08:15:00,2026-06-04 01:15:00,8,2026-06-04 08:45:00,2026-06-04 01:45:00,long,0.003,0.002977,Close (0.003000) < Lower BB (0.003033),Stop Loss hit (0.75%),-7.7821,-3.0,30.0,1037.61
2026-06-04 08:45:00,2026-06-04 01:45:00,8,2026-06-04 09:00:00,2026-06-04 02:00:00,long,0.002969,0.002947,Close (0.002969) < Lower BB (0.002992),Stop Loss hit (0.75%),-7.7237,-3.0,15.0,1029.83
2026-06-05 09:45:00,2026-06-05 02:45:00,9,2026-06-05 11:15:00,2026-06-05 04:15:00,long,0.002869,0.002914,Close (0.002869) < Lower BB (0.002877),Exit at BB Middle,15.9189,6.2298,90.0,1022.11
2026-06-07 08:00:00,2026-06-07 01:00:00,8,2026-06-07 08:15:00,2026-06-07 01:15:00,short,0.002718,0.002738,Close (0.002718) > Upper BB (0.002699),Stop Loss hit (0.75%),-7.7852,-3.0,15.0,1038.03
2026-06-07 08:15:00,2026-06-07 01:15:00,8,2026-06-07 11:15:00,2026-06-07 04:15:00,short,0.002756,0.002715,Close (0.002756) > Upper BB (0.002722),Exit at BB Middle,15.414,5.9846,180.0,1030.24
